Name,XPos,YPos,ZPos
1478,648,670,89
1479,650,729,256
1480,256,729,89
1481,510,797,738
1482,510,780,797
1483,708,752,797
1484,797,678,708
1485,533,500,503
1486,533,714,500
1487,657,256,500
1488,500,779,657
1489,780,678,797
1490,780,746,678
1491,701,708,678
1492,678,490,701
1493,750,798,502
1494,502,725,750
1495,798,350,502
1496,350,724,502
1497,350,798,760
1498,760,798,664
1499,798,750,664
1500,664,750,741
1501,772,799,786
1502,786,721,772
1503,799,489,660
1504,660,786,799
1505,489,799,749
1506,489,749,728
1507,799,772,793
1508,799,793,749
1509,372,681,673
1510,372,621,681
1511,89,744,681
1512,681,648,89
